code,name,year,industry
300184,力源信息,2023,S27
300184,力源信息,2024,S27
300185,通裕重工,2022,S63
300185,通裕重工,2023,S63
300185,通裕重工,2024,S63
300187,永清环保,2022,S76
300187,永清环保,2023,S76
300187,永清环保,2024,S76
300188,国投智能,2022,S71
300188,国投智能,2023,S71
300188,国投智能,2024,S71
300189,神农种业,2022,S11
300189,神农种业,2023,S11
300189,神农种业,2024,S11
300190,维尔利,2022,S76
300190,维尔利,2023,S76
300190,维尔利,2024,S76
300191,潜能恒信,2022,S75
300191,潜能恒信,2023,S75
300191,潜能恒信,2024,S75
300192,科德教育,2022,S46
300192,科德教育,2023,S46
300192,科德教育,2024,S46
300193,佳士科技,2022,S64
300193,佳士科技,2023,S64
300193,佳士科技,2024,S64
300194,福安药业,2022,S37
300194,福安药业,2023,S37
300194,福安药业,2024,S37
300195,长荣股份,2022,S64
300195,长荣股份,2023,S64
300195,长荣股份,2024,S64
300196,长海股份,2022,S61
300196,长海股份,2023,S61
300196,长海股份,2024,S61
300197,节能铁汉,2022,S62
300197,节能铁汉,2023,S62
300197,节能铁汉,2024,S62
300198,ST纳川,2022,S61
300198,ST纳川,2023,S61
300198,ST纳川,2024,S61
300199,翰宇药业,2022,S37
300199,翰宇药业,2023,S37
300199,翰宇药业,2024,S37
300200,高盟新材,2022,S22
300200,高盟新材,2023,S22
300200,高盟新材,2024,S22
300201,海伦哲,2022,S64
300201,海伦哲,2023,S64
300201,海伦哲,2024,S64
300203,聚光科技,2022,S76
300203,聚光科技,2023,S76
300203,聚光科技,2024,S76
300204,舒泰神,2022,S37
300204,舒泰神,2023,S37
300204,舒泰神,2024,S37
300205,*ST天喻,2022,S73
300205,*ST天喻,2023,S73
300205,*ST天喻,2024,S73
300206,理邦仪器,2022,S37
300206,理邦仪器,2023,S37
300206,理邦仪器,2024,S37
300207,欣旺达,2022,S63
300207,欣旺达,2023,S63
300207,欣旺达,2024,S63
300209,行云科技,2022,S71
300209,行云科技,2023,S71
300209,行云科技,2024,S71
300210,森远股份,2022,S76
300210,森远股份,2023,S76
